rules_dir,language,file_count,files
angular,angular,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
arkts,arkts,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
common,common,10,"coding-style.md, git-workflow.md, testing.md, performance.md, patterns.md..."
cpp,cpp,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
csharp,csharp,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
dart,dart,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
fsharp,fsharp,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
golang,golang,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
java,java,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
kotlin,kotlin,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
perl,perl,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
php,php,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
python,python,6,"coding-style.md, testing.md, patterns.md, hooks.md, fastapi.md..."
react,react,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
ruby,ruby,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
rust,rust,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
swift,swift,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
typescript,typescript,5,"coding-style.md, testing.md, patterns.md, hooks.md, security.md"
web,web,7,"coding-style.md, testing.md, performance.md, patterns.md, hooks.md..."
